Marque,Modèle,Prix,Kilométrage,Année,Carburant,Boite_de_vitesses
Volkswagen,Passat,55 000 DT,193 500 km,2016,Essence,Manuelle
Hyundai,Grand i10 High Grade,47 500 DT,56 000 km,2022,Essence,Automatique
Skoda,Fabia,49 900 DT,79 000 km,2022,Essence,Manuelle
Chery,QQ,23 900 DT,43 000 km,2020,Essence,Manuelle
Volkswagen,Jetta,36 000 DT,133 000 km,2010,Essence,Manuelle
Mazda,BT-50 Double cabine MID,53 000 DT,334 000 km,2016,Diesel,Manuelle
Mitsubishi,Lancer,26 900 DT,208 000 km,2002,Essence,Automatique
Kia,Cerato,42 000 DT,189 000 km,2015,Essence,Manuelle
Renault,Symbol Elegance,39 000 DT,139 000 km,2021,Essence,Manuelle
Mercedes-Benz,CLA,59 900 DT,316 000 km,2015,Essence,Manuelle
Kia,Rio 5p,49 500 DT,112 000 km,2022,Essence,Manuelle
Citroën,Berlingo Utilitaire,74 000 DT,78 000 km,2020,Diesel,Manuelle
Inconnu,DFSK Glory 580,85 000 DT,68 000 km,2022,Essence,Manuelle
Mercedes-Benz,Classe C,53 000 DT,190 000 km,2011,Essence,Automatique
Toyota,Corolla,26 000 DT,150 000 km,2004,Essence,Manuelle
Volkswagen,Polo,52 000 DT,68 000 km,2020,Essence,Manuelle
Dacia,Dokker Van,32 000 DT,116 000 km,2019,Diesel,Manuelle
Haval,H6,115 000 DT,39 000 km,2023,Essence,Automatique
Peugeot,208,27 900 DT,122 000 km,2017,Essence,Manuelle
Renault,Clio,48 000 DT,65 000 km,2022,Essence,Manuelle
Inconnu,Wallyscar Wolf,109 000 DT,8 000 km,2024,Essence,Automatique
Hyundai,Grand i10 High Grade,50 500 DT,62 000 km,2021,Essence,Automatique
Haval,H6 Luxury,85 000 DT,130 000 km,2021,Essence,Automatique
Kia,Picanto,32 500 DT,100 000 km,2013,Essence,Automatique
Fiat,Fiorino,35 000 DT,77 000 km,2021,Diesel,Manuelle
Chery,Tiggo 7 Pro,64 000 DT,123 000 km,2019,Essence,Automatique
Kia,Sorento,58 000 DT,273 000 km,2013,Diesel,Automatique
Citroën,C4,36 000 DT,154 000 km,2016,Essence,Manuelle
Fiat,500,29 900 DT,199 000 km,2012,Essence,Automatique
Citroën,C4,34 000 DT,218 000 km,2015,Essence,Manuelle
Suzuki,Jimny 3 portes,75 000 DT,75 000 km,2020,Essence,Manuelle
Seat,Ibiza Style,47 500 DT,169 000 km,2021,Essence,Manuelle
Chevrolet,Sonic,36 000 DT,163 000 km,2019,Essence,Manuelle
Honda,City,63 500 DT,49 000 km,2021,Essence,Automatique
Mazda,3,48 500 DT,94 000 km,2015,Essence,Manuelle
Kia,Sportage GT-Line,120 000 DT,79 000 km,2020,Diesel,Automatique
Toyota,Agya,36 900 DT,21 000 km,2022,Essence,Manuelle
BMW,Série 1 F20,53 000 DT,120 000 km,2012,Essence,Automatique
Fiat,500,48 000 DT,93 000 km,2021,Essence,Manuelle
BYD,Tang Supreme,135 000 DT,53 000 km,2023,Essence,Automatique
Nissan,Juke,85 000 DT,55 000 km,2021,Essence,Automatique
